key,label,comment
birthday,誕生日,誕生日
blood_type,血液型,血液型
favorite_brand,好きなブランド,好きなブランド
brand_name,アイテムのブランド名,item_ofのnameのこと
brand_item,ブランドのアイテム,
item_of,アイテムのブランド,
charm,チャーム,チャーム
cv,声優,声優
name,名前,名前
name_kana,名前(かな),名前(かな)
height,身長(ch),身長(ch)
type,タイプ,タイプ
絵コンテ,絵コンテ,絵コンテ
episodeOfSeries,シリーズ内のエピソード,シリーズ内のエピソード
livePerformed,livePerformed,livePerformed
アニメーション演出,アニメーション演出,アニメーション演出
サブタイトル,サブタイトル,サブタイトル
ストーリーボード,ストーリーボード,ストーリーボード
作画監修,作画監修,作画監修
放送日(TXN),放送日(TXN),放送日(TXN)
演出,演出,演出
脚本,脚本,脚本
話数,話数,話数
start,開始,開始
end,終了,終了
liveOfEpisode,エピソード内のライブ,エピソード内のライブ
performer,演者,演者
performerIn,演者をしたライブ,演者をしたライブ
songPerformed,ライブ内の曲,ライブ内の曲
タイトル,タイトル,タイトル
hasEpisode,シリーズ内のエピソード,シリーズ内のエピソード
item_id,アイテムID,アイテムID
rarity,レアリティ,レアリティ
category,カテゴリー,カテゴリー
image_num,image_num,image_num
color,色,色
like,いいね,いいね
outfit_id,outfit_id,outfit_id
series_name,シリーズ名,シリーズ名
collection_term,期間,期間
address,住所,住所
prefecture,都道府県,都道府県
term_start,開始日,開始日
term_end,終了日,終了日
favorite_food,好きな食べ物,好きな食べ物
volume,volume,volume
あにてれ,あにてれ,あにてれ
performedInLive,performedInLive,performedInLive
member,メンバー,メンバー
memberOf,チームのメンバー,チームのメンバー
series,シリーズ,シリーズ
name_katakana,名前(カタカナ),名前(カタカナ)
