song,team
make_it,solami_dressing_and_falulu
make_it,solami_smile
marble_make_up_a_ha_ha,laala_and_mirei
marble_make_up_a_ha_ha,laala_and_non
pretty_prism_paradise,solami_smile
no_d_and_d_code,dressing_pafe
happy_pa_lucky,solami_smile
change_my_world,dressing_pafe
realize,solami_dressing
love_friend_style,solami_dressing
dream_parade,solami_smile
dream_parade,friend_all
debi_en_reversible_ring,aromageddon
lucky_surprise_birthday,solamageddon_mi
lucky_surprise_birthday,solami_dressing
konouta_tomareihi,huwari_and_hibiki
tondemo_summer_adventure,dressing_flower
love_week_old,falulu_and_hibiki
rainbow_melody,pripara_dream_all_stars
omu_omelet_rice,cosmic_omelet_rice_da_vinci
papipupe_police,pripara_police
what_a_wonder_pri_world,serepara_kagekidan
twin_mirror_compact,dorothy_and_leona
around_the_pripara_land,friend_all_and_serepara_kagekidan
triangle_star,solami_smile
ready_smile,solami_smile
pripara_dancing,laala_and_gaaruru
charisma_to_girl_yeah,triangle
run_for_jumping,dressing_pafe
brand_new_dreamer,laala_with_triangle
brand_new_dreamer,laala_with_junon
brand_new_dreamer,laala_with_pinon
brand_new_dreamer,laala_with_kanon
amazing_castle,garumageddon
just_my_chance_call,chanko_with_sophie_sinneitai
mon_chouchou,tricolore
growin_jewel,solami_dressing
growin_jewel,dressing_pafe
growin_jewel,solami_smile
sugarless_friend,non_sugar
idle_wo_torimodose,ucchari_big_bangs
i_friend_you,solami_smile
love_is_friend,solami_smile_and_jewlie_and_janice
memories_medley,dressing_pafe_and_garumageddon_and_tricolore_and_non_sugar_and_ucchari_big_bangs
my_friend_dear_friend,solami_smile_and_dressing_pafe_and_non_sugar_and_tricolore_and_garumageddon_and_ucchari_big_bangs
we_are_the_friends,solami_smile_and_dressing_pafe_and_non_sugar_and_tricolore_and_garumageddon_and_ucchari_big_bangs
